"","model","sim","mean_diff_hm","mean_diff_max","trend_hm","trend_max"
"104","independent",52,-0.538461538461538,0.769230769230769,-1.02747252747253,-0.14285714285715
"105","hierarchical",52,-0.769230769230769,-1.07692307692308,-0.978021978021978,-0.857142857142862
"106","independent",53,-0.692307692307692,0.384615384615385,-0.934065934065937,-0.406593406593408
"107","hierarchical",53,-0.692307692307692,-1.15384615384615,-0.780219780219779,-0.840659340659346
"108","independent",54,-0.307692307692308,-0.384615384615385,-1.21428571428572,-1.04395604395604
"109","hierarchical",54,-0.461538461538462,-0.538461538461538,-1.04945054945055,-1.01648351648352
"110","independent",55,-1.23076923076923,1.76923076923077,-1.1923076923077,-0.197802197802201
"111","hierarchical",55,-1,-0.461538461538462,-1.08241758241758,-0.923076923076926
"112","independent",56,0,-0.846153846153846,-0.857142857142857,-0.895604395604404
"113","hierarchical",56,-0.692307692307692,-1.07692307692308,-0.884615384615384,-0.906593406593411
"114","independent",57,-0.461538461538462,-0.461538461538462,-1.28571428571429,-1.0054945054945
"115","hierarchical",57,-0.307692307692308,-0.230769230769231,-1.05494505494506,-0.807692307692314
"116","independent",58,-0.230769230769231,0.230769230769231,-0.895604395604396,-0.543956043956045
"117","hierarchical",58,-0.384615384615385,-1,-0.791208791208793,-0.785714285714293
"118","independent",59,-0.307692307692308,-0.461538461538462,-0.983516483516484,-0.90659340659341
"119","hierarchical",59,-0.307692307692308,-1.15384615384615,-0.835164835164836,-0.785714285714288
"120","independent",60,-0.923076923076923,-0.923076923076923,-1.25274725274726,-0.692307692307695
"121","hierarchical",60,-0.538461538461538,-1.30769230769231,-0.928571428571429,-0.747252747252748
"122","independent",61,-0.538461538461538,-0.384615384615385,-1.09340659340659,-1.19230769230769
"123","hierarchical",61,-0.846153846153846,-0.923076923076923,-0.939560439560438,-1.16483516483516
"124","independent",62,-0.230769230769231,-0.153846153846154,-0.923076923076926,-0.818681318681324
"125","hierarchical",62,-0.153846153846154,-0.692307692307692,-0.785714285714284,-0.747252747252753
"126","independent",63,-0.384615384615385,0,-0.91758241758242,-0.587912087912091
"127","hierarchical",63,-0.307692307692308,-1,-0.835164835164836,-0.785714285714286
"128","independent",64,-0.615384615384615,-0.692307692307692,-1.04395604395605,-0.945054945054944
"129","hierarchical",64,-0.538461538461538,-0.307692307692308,-1.02197802197802,-0.884615384615385
"130","independent",65,-0.846153846153846,-1.38461538461538,-1.2032967032967,-1.18131868131868
"131","hierarchical",65,-0.769230769230769,-1.15384615384615,-1.03296703296703,-1.02197802197802
"132","independent",66,-0.692307692307692,-0.153846153846154,-0.873626373626373,-0.63736263736264
"133","hierarchical",66,-0.923076923076923,-1.38461538461538,-0.906593406593405,-0.956043956043961
"134","independent",67,-0.384615384615385,-0.230769230769231,-1.05494505494506,-0.840659340659347
"135","hierarchical",67,-0.0769230769230769,-0.384615384615385,-0.857142857142858,-0.769230769230774
"136","independent",68,-0.846153846153846,-0.846153846153846,-1.03846153846154,-1.00549450549451
"137","hierarchical",68,-0.923076923076923,-1.46153846153846,-0.967032967032966,-1.08241758241758
"138","independent",69,-0.153846153846154,-0.307692307692308,-0.989010989010988,-0.906593406593408
"139","hierarchical",69,0,-0.230769230769231,-0.879120879120879,-0.851648351648358
"140","independent",70,-0.230769230769231,-0.153846153846154,-0.934065934065934,-0.857142857142862
"141","hierarchical",70,-0.230769230769231,-0.692307692307692,-0.807692307692308,-0.796703296703303
"142","independent",71,0.153846153846154,-0.692307692307692,-0.758241758241759,-0.972527472527472
"143","hierarchical",71,0,-0.846153846153846,-0.697802197802198,-0.604395604395606
"144","independent",72,-0.538461538461538,0.461538461538462,-1.13186813186813,-0.620879120879122
"145","hierarchical",72,-0.153846153846154,0.153846153846154,-0.884615384615383,-0.769230769230774
"146","independent",73,-0.923076923076923,-0.538461538461538,-1.11538461538462,-0.890109890109887
"147","hierarchical",73,-0.923076923076923,-1,-0.906593406593405,-0.934065934065941
"148","independent",74,-0.615384615384615,-0.615384615384615,-1.20879120879121,-1.0054945054945
"149","hierarchical",74,-0.615384615384615,-0.615384615384615,-1.07692307692308,-0.950549450549452
"150","independent",75,-1,0,-1.0989010989011,-0.796703296703297
"151","hierarchical",75,-1.30769230769231,-1,-0.967032967032968,-0.945054945054945
"152","independent",76,0.230769230769231,0.0769230769230769,-0.851648351648352,-0.598901098901101
"153","hierarchical",76,-0.153846153846154,-0.538461538461538,-0.884615384615383,-0.791208791208795
"154","independent",77,-0.384615384615385,-0.153846153846154,-1.08791208791209,-0.824175824175826
"155","hierarchical",77,-0.461538461538462,-0.461538461538462,-0.945054945054948,-0.796703296703303
"156","independent",78,-0.230769230769231,-0.846153846153846,-0.961538461538461,-0.917582417582426
"157","hierarchical",78,-0.307692307692308,-1.15384615384615,-0.835164835164836,-0.840659340659346
"158","independent",79,-0.307692307692308,-0.0769230769230769,-1.02197802197802,-0.626373626373628
"159","hierarchical",79,-0.230769230769231,-0.307692307692308,-0.917582417582418,-0.664835164835166
"160","independent",80,-0.230769230769231,0.538461538461538,-1.01098901098901,-0.549450549450552
"161","hierarchical",80,-0.0769230769230769,-0.384615384615385,-0.857142857142858,-0.741758241758247
"162","independent",81,0.153846153846154,1.23076923076923,-0.884615384615383,-0.0769230769230809
"163","hierarchical",81,-0.153846153846154,-0.769230769230769,-0.824175824175823,-0.692307692307696
"164","independent",82,-0.615384615384615,-0.538461538461538,-1.15384615384616,-0.752747252747257
"165","hierarchical",82,-0.230769230769231,-1,-0.917582417582418,-0.758241758241758
"166","independent",83,-0.538461538461538,0,-1.11538461538462,-0.82967032967033
"167","hierarchical",83,-0.769230769230769,-0.923076923076923,-0.851648351648352,-0.879120879120882
"168","independent",84,-1.38461538461538,-1.15384615384615,-1.27472527472528,-0.824175824175826
"169","hierarchical",84,-1,-1.38461538461538,-1.13186813186814,-1.01648351648351
"170","independent",85,-1,-1.15384615384615,-1.31318681318682,-1.12637362637363
"171","hierarchical",85,-0.846153846153846,-1.30769230769231,-1.10989010989011,-0.950549450549455
"172","independent",86,2.61538461538462,4.84615384615385,0.252747252747251,1.5989010989011
"173","hierarchical",86,0.307692307692308,-0.538461538461538,-0.774725274725274,-0.500000000000004
"174","independent",87,0.538461538461538,1.61538461538462,-0.928571428571428,-0.236263736263738
"175","hierarchical",87,0.692307692307692,0.230769230769231,-0.747252747252748,-0.598901098901103
"176","independent",88,-0.153846153846154,1.07692307692308,-0.961538461538464,-0.324175824175827
"177","hierarchical",88,0.153846153846154,-0.153846153846154,-0.769230769230771,-0.604395604395607
"178","independent",89,-0.692307692307692,-1,-0.989010989010992,-0.895604395604396
"179","hierarchical",89,-0.615384615384615,-1,-0.917582417582416,-0.835164835164842
"180","independent",90,-0.461538461538462,-0.615384615384615,-1.00549450549451,-0.873626373626376
"181","hierarchical",90,0.0769230769230769,-0.846153846153846,-0.752747252747252,-0.697802197802199
"182","independent",91,-1.30769230769231,0.307692307692308,-1.22527472527473,-0.532967032967032
"183","hierarchical",91,-1.07692307692308,-1.23076923076923,-0.906593406593408,-0.917582417582421
"184","independent",92,-1.23076923076923,-0.923076923076923,-1.37362637362637,-0.923076923076925
"185","hierarchical",92,-0.769230769230769,-1.07692307692308,-0.978021978021978,-0.906593406593411
"186","independent",93,-0.307692307692308,-0.538461538461538,-1.15384615384615,-0.972527472527473
"187","hierarchical",93,-0.153846153846154,-0.538461538461538,-0.939560439560438,-0.829670329670334
"188","independent",94,-1,-0.846153846153846,-1.12637362637363,-0.895604395604397
"189","hierarchical",94,-1,-1.30769230769231,-0.934065934065934,-0.901098901098902
"190","independent",95,-0.0769230769230769,-0.384615384615385,-1.15384615384616,-0.994505494505496
"191","hierarchical",95,0.230769230769231,-0.769230769230769,-0.807692307692308,-0.774725274725282
"192","independent",96,-0.153846153846154,-0.538461538461538,-0.862637362637362,-0.8956043956044
"193","hierarchical",96,0,-0.615384615384615,-0.725274725274725,-0.593406593406595
"194","independent",97,-0.769230769230769,-0.846153846153846,-1.01648351648352,-0.994505494505496
"195","hierarchical",97,-0.384615384615385,-1.15384615384615,-0.86813186813187,-0.840659340659346
"196","independent",98,-1.30769230769231,-0.923076923076923,-1.0989010989011,-0.923076923076926
"197","hierarchical",98,-1.38461538461538,-0.923076923076923,-1.04395604395605,-0.939560439560442
"198","independent",99,-0.538461538461538,-0.461538461538462,-1.06593406593407,-0.972527472527476
"199","hierarchical",99,-0.615384615384615,-0.692307692307692,-1.02197802197802,-0.967032967032966
"200","independent",100,-0.923076923076923,-0.153846153846154,-1.13186813186813,-0.626373626373628
"201","hierarchical",100,-0.769230769230769,-0.692307692307692,-0.983516483516484,-0.906593406593413
