"","model","sim","year","hm_jday","max_jday","max_val","first","median","diff_hm","diff_max","n.surveys"
"180","hierarchical",7,"10",124,134,0.12142576717876,115,133,-1,1,2750
"181","hierarchical",7,"11",123,132,0.126430588462137,121,134,-1,0,2000
"182","hierarchical",7,"12",122,131,0.134451621414449,115,136,-1,0,1250
"183","hierarchical",7,"13",122,130,0.144286030665416,126,135,0,0,500
"184","independent",8,"1",133,140,0.127438825853112,125,145,-1,-2,9500
"185","independent",8,"2",132,140,0.13581727583714,126,143,-1,-1,8750
"186","independent",8,"3",131,139,0.111447415881085,121,142,-1,-1,8000
"187","independent",8,"4",131,138,0.116236035449943,124,142,0,-1,7250
"188","independent",8,"5",130,137,0.115928425901807,122,141,0,-1,6500
"189","independent",8,"6",128,136,0.116003343573339,119,139,-1,-1,5750
"190","independent",8,"7",127,136,0.122016771707809,119,138,-1,0,5000
"191","independent",8,"8",126,134,0.117004846633646,118,136,-1,-1,4250
"192","independent",8,"9",125,133,0.11748031082696,115,135,-1,-1,3500
"193","independent",8,"10",125,133,0.101323514764062,121,139,0,0,2750
"194","independent",8,"11",122,131,0.117713138488806,116,134,-2,-1,2000
"195","independent",8,"12",121,132,0.119271415415002,116,134,-2,1,1250
"196","independent",8,"13",127,131,0.290018189432605,127,132,5,1,500
"197","hierarchical",8,"1",132,139,0.115548839174306,125,145,-2,-3,9500
"198","hierarchical",8,"2",132,139,0.121916401013488,126,143,-1,-2,8750
"199","hierarchical",8,"3",131,138,0.125646303688057,121,142,-1,-2,8000
"200","hierarchical",8,"4",130,138,0.126555517254785,124,142,-1,-1,7250
"201","hierarchical",8,"5",130,137,0.126145380564407,122,141,0,-1,6500
"202","hierarchical",8,"6",129,136,0.124210463698433,119,139,0,-1,5750
"203","hierarchical",8,"7",128,135,0.121901112019644,119,138,0,-1,5000
"204","hierarchical",8,"8",127,135,0.120411628573367,118,136,0,0,4250
"205","hierarchical",8,"9",125,134,0.120517240584791,115,135,-1,0,3500
"206","hierarchical",8,"10",124,133,0.122305532311978,121,139,-1,0,2750
"207","hierarchical",8,"11",123,132,0.125880301768694,116,134,-1,0,2000
"208","hierarchical",8,"12",122,131,0.130911369272184,116,134,-1,0,1250
"209","hierarchical",8,"13",121,130,0.136640205224908,127,132,-1,0,500
"210","independent",9,"1",134,142,0.123919622133871,123,144,0,0,9500
"211","independent",9,"2",133,139,0.135177717652748,122,143,0,-2,8750
"212","independent",9,"3",130,139,0.11558516863274,122,144,-2,-1,8000
"213","independent",9,"4",130,137,0.11340223294184,126,143,-1,-2,7250
"214","independent",9,"5",128,136,0.0969714993003638,124,142,-2,-2,6500
"215","independent",9,"6",130,136,0.166924007927497,119,139,1,-1,5750
"216","independent",9,"7",129,136,0.122836528136895,123,140,1,0,5000
"217","independent",9,"8",126,135,0.10332270244599,124,138,-1,0,4250
"218","independent",9,"9",127,134,0.142055944415647,115,138,1,0,3500
"219","independent",9,"10",125,132,0.0937181110855604,119,134,0,-1,2750
"220","independent",9,"11",122,132,0.128821707063056,113,139,-2,0,2000
"221","independent",9,"12",125,143,0.0474183667004469,125,142,2,12,1250
"222","independent",9,"13",121,127,0.103140477548265,123,130.5,-1,-3,500
"223","hierarchical",9,"1",132,140,0.113526996631904,123,144,-2,-2,9500
"224","hierarchical",9,"2",131,139,0.11847220636676,122,143,-2,-2,8750
"225","hierarchical",9,"3",131,138,0.121248563316508,122,144,-1,-2,8000
"226","hierarchical",9,"4",130,138,0.122076808089739,126,143,-1,-1,7250
"227","hierarchical",9,"5",129,137,0.121875815486916,124,142,-1,-1,6500
"228","hierarchical",9,"6",129,136,0.120545897615406,119,139,0,-1,5750
"229","hierarchical",9,"7",128,135,0.11866427639411,123,140,0,-1,5000
"230","hierarchical",9,"8",127,134,0.116793867970719,124,138,0,-1,4250
"231","hierarchical",9,"9",126,134,0.11579406104901,115,138,0,0,3500
"232","hierarchical",9,"10",125,133,0.11539649751752,119,134,0,0,2750
"233","hierarchical",9,"11",125,132,0.115234085353044,113,139,1,0,2000
"234","hierarchical",9,"12",124,132,0.115463343276617,125,142,1,1,1250
"235","hierarchical",9,"13",123,131,0.115727873164916,123,130.5,1,1,500
"236","independent",10,"1",135,142,0.142427372750799,125,146,1,0,9500
"237","independent",10,"2",132,140,0.112583584982465,122,144,-1,-1,8750
"238","independent",10,"3",131,138,0.133749054508914,124,141,-1,-2,8000
