"","model","sim","mean_diff_hm","mean_diff_max","trend_hm","trend_max"
"113","hierarchical",56,0.23076923076923,1.53846153846154,-0.868131868131865,-0.928571428571433
"114","independent",57,0.538461538461538,-0.692307692307692,-0.840659340659341,-1.12637362637363
"115","hierarchical",57,0.384615384615385,1.84615384615385,-0.868131868131867,-1.12087912087912
"116","independent",58,-0.153846153846154,-0.692307692307692,-1.06593406593406,-0.989010989010988
"117","hierarchical",58,0.384615384615385,2,-0.934065934065932,-0.835164835164839
"118","independent",59,0.615384615384615,-0.230769230769231,-0.813186813186812,-0.697802197802199
"119","hierarchical",59,0.538461538461538,1.46153846153846,-0.818681318681318,-0.857142857142858
"120","independent",60,0.230769230769231,0.0769230769230769,-0.939560439560437,-0.950549450549453
"121","hierarchical",60,0.384615384615385,1.92307692307692,-0.868131868131867,-0.983516483516486
"122","independent",61,0,0,-1.02747252747253,-1.0054945054945
"123","hierarchical",61,0,1.69230769230769,-1,-1.07692307692308
"124","independent",62,0.615384615384615,-1,-1.05494505494506,-1.1978021978022
"125","hierarchical",62,0.692307692307692,2.15384615384615,-0.9010989010989,-0.939560439560443
"126","independent",63,-0.230769230769231,-0.384615384615385,-0.989010989010987,-0.906593406593403
"127","hierarchical",63,0,1.38461538461539,-1,-0.978021978021983
"128","independent",64,-0.0769230769230769,-0.0769230769230769,-1.0989010989011,-1.0934065934066
"129","hierarchical",64,0,1.69230769230769,-1,-1.07692307692308
"130","independent",65,0,-0.538461538461538,-0.967032967032967,-0.868131868131869
"131","hierarchical",65,0,1.30769230769231,-0.879120879120876,-0.901098901098902
"132","independent",66,-0.153846153846154,-0.846153846153846,-1.13186813186813,-1.32967032967033
"133","hierarchical",66,0.538461538461538,2,-0.95054945054945,-1
"134","independent",67,0.384615384615385,0,-1.04945054945055,-1.07692307692308
"135","hierarchical",67,0.76923076923077,2.15384615384615,-0.868131868131869,-0.939560439560443
"136","independent",68,-0.230769230769231,-0.538461538461538,-1.01098901098901,-0.862637362637366
"137","hierarchical",68,0.0769230769230766,2,-0.967032967032968,-1
"138","independent",69,0.307692307692308,0.153846153846154,-0.978021978021979,-0.928571428571432
